"DateTime","open","high","low","close"
2021-10-28 21:00:00,375.1,375.38,374.6,374.94
2021-10-28 21:01:00,374.82,374.82,374.64,374.64
2021-10-28 21:02:00,374.7,375.04,374.7,375
2021-10-28 21:03:00,374.96,375.12,374.94,375.12
2021-10-28 21:04:00,375.2,375.44,375.12,375.38
2021-10-28 21:05:00,375.38,375.44,375.3,375.4
2021-10-28 21:06:00,375.56,375.62,375.2,375.2
2021-10-28 21:07:00,375.26,375.32,375.18,375.2
2021-10-28 21:08:00,375.12,375.2,375.12,375.2
2021-10-28 21:09:00,375.28,375.28,375.28,375.28
2021-10-28 21:10:00,375.22,375.48,375.16,375.48
2021-10-28 21:11:00,375.5,375.6,375.5,375.6
2021-10-28 21:12:00,375.48,375.48,375.48,375.48
2021-10-28 21:13:00,375.58,375.96,375.58,375.84
2021-10-28 21:14:00,375.92,376.12,375.78,376
2021-10-28 21:15:00,376,376,375.86,375.96
2021-10-28 21:16:00,375.88,375.88,375.64,375.72
2021-10-28 21:17:00,375.84,375.84,375.84,375.84
2021-10-28 21:18:00,375.84,375.84,375.74,375.74
2021-10-28 21:19:00,375.64,375.76,375.64,375.76
2021-10-28 21:20:00,375.7,375.7,375.58,375.68
2021-10-28 21:21:00,375.72,376,375.72,376
2021-10-28 21:22:00,375.96,376.06,375.88,375.98
2021-10-28 21:23:00,376.1,376.16,376.1,376.16
2021-10-28 21:24:00,376.04,376.06,376.04,376.06
2021-10-28 21:25:00,376.22,376.22,376.12,376.16
2021-10-28 21:26:00,376.16,376.16,376.1,376.16
2021-10-28 21:27:00,376.06,376.06,376.06,376.06
2021-10-28 21:28:00,376.2,376.2,376.14,376.2
2021-10-28 21:29:00,376.2,377.22,376.2,376.76
2021-10-28 21:30:00,376.94,377.42,376.82,377.12
2021-10-28 21:31:00,377.12,377.26,377,377.08
2021-10-28 21:32:00,377.2,377.28,377,377
2021-10-28 21:33:00,377,377,376.12,376.42
2021-10-28 21:34:00,376.4,376.5,376.32,376.5
2021-10-28 21:35:00,376.64,376.8,376.64,376.8
2021-10-28 21:36:00,376.46,376.46,376.32,376.32
2021-10-28 21:37:00,376.26,376.3,376.08,376.08
2021-10-28 21:38:00,376.14,376.14,375.44,375.5
2021-10-28 21:39:00,375.3,375.68,375.3,375.68
2021-10-28 21:40:00,375.62,375.66,375.52,375.52
2021-10-28 21:41:00,375.4,375.6,375.4,375.54
2021-10-28 21:42:00,375.54,375.54,375.54,375.54
2021-10-28 21:43:00,375.4,375.58,375.4,375.58
2021-10-28 21:44:00,375.68,375.76,375.6,375.76
2021-10-28 21:45:00,375.72,375.92,375.72,375.84
2021-10-28 21:46:00,375.76,375.76,375.76,375.76
2021-10-28 21:47:00,375.68,375.68,375.6,375.6
2021-10-28 21:48:00,NaN,NaN,NaN,NaN
2021-10-28 21:49:00,NaN,NaN,NaN,NaN
2021-10-28 21:50:00,375.4,375.4,375.32,375.32
2021-10-28 21:51:00,375.14,375.14,375.14,375.14
2021-10-28 21:52:00,NaN,NaN,NaN,NaN
2021-10-28 21:53:00,375.66,375.9,375.66,375.9
2021-10-28 21:54:00,375.9,375.98,375.78,375.78
2021-10-28 21:55:00,375.78,375.92,375.76,375.92
2021-10-28 21:56:00,375.68,375.84,375.6,375.6
2021-10-28 21:57:00,375.84,375.86,375.84,375.86
2021-10-28 21:58:00,375.86,375.98,375.86,375.98
2021-10-28 21:59:00,375.96,375.98,375.92,375.94
2021-10-28 22:00:00,375.68,375.68,375.6,375.6
2021-10-28 22:01:00,375.98,375.98,375.98,375.98
